id,estado_contacto,corridor,micro_zone,city,priority,score_operativo,name,sector,segmento_comercial,phone,phone_quality,telefono_principal_tel,tel_links,ask_for,need_probable,offer,hook,accion_sugerida,dato_pendiente,google_maps,source,source_url,evidencia,calidad_dato,origen_registro,resultado,fecha_visita,proximo_paso,notas_campo
PRESOL-001,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,85,ESISA,Viviendas/módulos industrializados,Módulos / containers,Portería parque: 03571 565662; mail esisaservicios@gmail.com,VER,tel:+543571565662,tel:+543571565662,operaciones / entregas,"Entrega, descarga y posicionamiento de módulos/containers en obra o cliente final.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Socio natural para entregas de módulos a obra.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.182000,-64.107000",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-002,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Hormicor,Hormigón elaborado,Hormigón / áridos / premoldeados,03571 500888 / 03571 510066,OK,tel:+543571500888,tel:+543571500888 | tel:+543571510066,planta / mantenimiento,"Movimiento de premoldeados, equipos de planta/cantera, bombas, moldes y cargas pesadas.",Movimiento de equipos de cantera/planta; transporte de material suelto sujeto a confirmar unidad o esquema operativo.,Ofrecer respaldo para picos de obra y traslados de equipos.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.178000,-64.111000",hormigonelaborado.com / Hormicor,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-003,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,75,IMBAL S.A.,Estructuras metálicas / montaje,Metalmecánica / despacho,A relevar en terreno,A relevar,,,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Fabrican y montan; pedir responsable de despacho/montaje.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.180000,-64.106000",Parque Industrial Río Tercero / LinkedIn comercial,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-004,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Metalúrgica Novaretti,Recipientes y equipos metalmecánicos,Metalmecánica / despacho,03571 414282 / 03571 606930,OK,tel:+543571414282,tel:+543571414282 | tel:+543571606930,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.","Despacho de estructuras, tanques, transformadores, piezas de ingeniería y equipos sobre plataforma 20 tn.",Cotizar despacho recurrente a plantas/obras.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.169000,-64.117000",novaretti.com.ar,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-005,Pendiente,Base Río Tercero,Parque Industrial Leonardo Da Vinci,Río Tercero,A,100,Metalúrgica Río Tercero S.A.,"Equipamiento minero, vial y agroindustrial / fundición",Agro / acopio / planta,03571 430558,OK,tel:+543571430558,tel:+543571430558,despacho / producción,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.",Transporte de repuestos/equipos/silos/implementos + coordinación de retiro y descarga.,"Produce equipamiento e insumos para minería, vial y agroindustria; encaje directo con cargas pesadas.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Metal%C3%BArgica+R%C3%ADo+Tercero+S.A.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Maquinac / Parque Industrial Río Tercero,https://maquinac.com/empresas/metalurgica-rio-tercero,"Maquinac informa dirección en Parque Industrial, teléfono y rubro minero/vial/agroindustrial.",Alta,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-006,Pendiente,Base Río Tercero,Río Tercero / Av. Savio,Río Tercero,A,100,NT Construcciones,Obras civiles industriales / montaje,Obra / constructora,+54 9 3571 597645,OK,tel:+5493571597645,tel:+5493571597645,operaciones / jefe de obra,"Traslado de maquinaria, módulos de obrador, estructuras, equipos y cargas pesadas entre frentes.",Transporte especial de equipos/obrador + apoyo de hidrogrúa según maniobra + seguro/GPS.,"Obras civiles industriales, montaje de naves y mantenimiento en complejos fabriles; clientes industriales regionales.","Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=NT+Construcciones+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web propia NT Construcciones,https://ntconstrucciones.com,"Servicios: obras civiles industriales, estructuras de hormigón, montaje de naves; teléfono y oficina publicados.",Alta,Nuevo enriquecimiento 2026-09-02,,,,
PRESOL-007,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Tres Eme S.A.,Silos y mecanización,Agro / acopio / planta,03571 432190 / 03571 637720,OK,tel:+543571432190,tel:+543571432190 | tel:+543571637720,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",Ofrecer flete + descarga/posicionamiento en obra rural.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.181000,-64.103000",parqueindustrial.riotercero.gob.ar/empresa/Tres-Eme-S.A.,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-008,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,A,100,Vial del Centro,Obras de infraestructura vial,Obra / constructora,0351 6411413,OK,tel:+543516411413,tel:+543516411413,operaciones / entregas,"Traslado de maquinaria, módulos de obrador, estructuras, equipos y cargas pesadas entre frentes.","Entrega y descarga de módulos/containers con plataforma, malacate e hidrogrúa según maniobra.",Pedir próximo movimiento de maquinaria entre frentes.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.183000,-64.101000",Parque Industrial Río Tercero,,Registro curado en documento de dirección PRESOL 2026-09.,Alta,Base curada PDF dirección,,,,
PRESOL-009,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,50,Atanor / Albaugh,Química / agroquímicos,Agro / acopio / planta,A relevar,A relevar,,,responsable de acopio / mantenimiento,"Traslado de equipos de planta, silos, repuestos pesados, balanzas, implementos y cargas especiales.","Movimiento de equipos de planta, silos, balanzas, repuestos y cargas especiales para acopios/agroindustria.",No vender por puerta fría baja; pedir compras/mantenimiento.,Visita o llamada de validación; pedir próximo traslado concreto.,Validar contacto decisor y necesidad inmediata.,"https://www.google.com/maps/search/?api=1&query=-32.173000,-64.110000",Albaugh / noticias sectoriales,,Registro curado en documento de dirección PRESOL 2026-09.,Media,Base curada PDF dirección,,,,
PRESOL-010,Pendiente,Base Río Tercero,Río Tercero,Río Tercero,B,60,Baudino Hnos.,Estructuras metálicas,Metalmecánica / despacho,03571 15600693 / 3571 457279 / 3571 458732,VER,tel:+5493571600693,tel:+5493571600693 | tel:+543571457279 | tel:+543571458732,despacho / producción,"Despacho seguro de estructuras, carrozados, tanques, piezas industriales y equipos sobre plataforma.",Plataforma 20 tn para piezas/estructuras + seguro de carga + trazabilidad GPS.,Estructuras metálicas locales; buen encaje para transporte de piezas y montaje.,"Validar teléfono/contacto; si responde, pedir un caso concreto de traslado o próximo movimiento.",Confirmar decisor y vigencia del dato antes de incluir en salida prioritaria.,https://www.google.com/maps/search/?api=1&query=Baudino+Hnos.+R%C3%ADo+Tercero+C%C3%B3rdoba+Argentina,Web pública Baudino Hnos. / resultado de búsqueda,https://baudinohnos.wixsite.com/baudinohnos,Resultado público indica dirección y teléfonos; verificar vigencia antes de visita.,Media,Nuevo enriquecimiento 2026-09-02,,,,
